date,aportes_kwh
2021-05-30,294317300.0
2021-05-31,330455100.0
2021-06-01,495085800.0
2021-06-02,360504700.0
2021-06-03,301682400.0
2021-06-04,250671600.0
2021-06-05,210397800.0
2021-06-06,264662000.0
2021-06-07,261730800.0
2021-06-08,372582000.0
2021-06-09,413167600.0
2021-06-10,305358000.0
2021-06-11,305537100.0
2021-06-12,392888100.0
2021-06-13,386417500.0
2021-06-14,398939500.0
2021-06-15,335255100.0
2021-06-16,288228700.0
2021-06-17,273455000.0
2021-06-18,261060900.0
2021-06-19,280750400.0
2021-06-20,491489800.0
2021-06-21,438657900.0
2021-06-22,332859800.0
2021-06-23,253871000.0
2021-06-24,351956500.0
2021-06-25,253162600.0
2021-06-26,241930000.0
2021-06-27,207340100.0
2021-06-28,224299100.0
2021-06-29,231579700.0
2021-06-30,214422200.0
2021-07-01,197918400.0
2021-07-02,207278500.0
2021-07-03,156499600.0
2021-07-04,148197900.0
2021-07-05,142015600.0
2021-07-06,143195800.0
2021-07-07,156465200.0
2021-07-08,237628500.0
2021-07-09,314788500.0
2021-07-10,252886900.0
2021-07-11,339362800.0
2021-07-12,230036300.0
2021-07-13,240867000.0
2021-07-14,218346500.0
2021-07-15,191417800.0
2021-07-16,239533800.0
2021-07-17,304519000.0
2021-07-18,301257300.0
2021-07-19,214382100.0
2021-07-20,185629800.0
2021-07-21,285257400.0
2021-07-22,351614700.0
2021-07-23,346129700.0
2021-07-24,240741700.0
2021-07-25,255597500.0
2021-07-26,239717600.0
2021-07-27,264457900.0
2021-07-28,203686200.0
2021-07-29,194363900.0
2021-07-30,276035300.0
2021-07-31,191016600.0
2021-08-01,150829400.0
2021-08-02,185757500.0
2021-08-03,216041400.0
2021-08-04,165093600.0
2021-08-05,147583200.0
2021-08-06,142773000.0
2021-08-07,131220400.0
2021-08-08,135398700.0
2021-08-09,158552700.0
2021-08-10,265655200.0
2021-08-11,220418300.0
2021-08-12,242486500.0
2021-08-13,274388500.0
2021-08-14,264914100.0
2021-08-15,275841900.0
2021-08-16,242812500.0
